Model,F1 (With RegulonDB),F1 (Without RegulonDB),ROC-AUC (With RegulonDB),ROC-AUC (Without RegulonDB),F1 Drop,F1 Drop %,ROC-AUC Drop,ROC-AUC Drop %
XGBoost,0.8,0.8,0.926,0.926,0.0,0.0,0.0,0.0
Random Forest,0.796,0.799,0.921,0.919,-0.0030000000000000027,-0.3768844221105531,0.0020000000000000018,0.21715526601520105
SVM,0.737,0.741,0.864,0.863,-0.0040000000000000036,-0.5427408412483045,0.0010000000000000009,0.11574074074074084
Logistic Regression,0.73,0.731,0.871,0.869,-0.0010000000000000009,-0.13698630136986314,0.0020000000000000018,0.22962112514351343
MLP,0.724,0.716,0.883,0.869,0.008000000000000007,1.1049723756906087,0.014000000000000012,1.5855039637599107
Naive Bayes,0.644,0.539,0.833,0.831,0.10499999999999998,16.304347826086953,0.0020000000000000018,0.2400960384153664
