model,method,accuracy_original,precision_original,recall_original,f1_original,roc_auc_original,accuracy_ablated_mean,accuracy_ablated_std,accuracy_delta,accuracy_pct_change,precision_ablated_mean,precision_ablated_std,precision_delta,precision_pct_change,recall_ablated_mean,recall_ablated_std,recall_delta,recall_pct_change,f1_ablated_mean,f1_ablated_std,f1_delta,f1_pct_change,roc_auc_ablated_mean,roc_auc_ablated_std,roc_auc_delta,roc_auc_pct_change
logistic_regression,random,0.8635658914728682,0.793918918918919,0.8969465648854962,0.8422939068100358,0.9397285392541805,0.6313178294573645,0.0186536821614822,-0.23224806201550374,-26.894075403949714,0.551682464319397,0.025941438858649205,-0.24223645459952192,-30.51148534530148,0.4961832061068702,0.029267617576611945,-0.40076335877862596,-44.680851063829785,0.5221316019618423,0.02461284962051034,-0.3201623048481935,-38.010758745806804,0.6635929683295798,0.018254279125473866,-0.2761355709246007,-29.384610490148237
random_forest,random,0.8744186046511628,0.8818565400843882,0.7977099236641222,0.8376753507014028,0.9525840591553226,0.6589147286821705,0.012971473279598073,-0.21550387596899234,-24.645390070921998,0.6288202137346774,0.027239611120884067,-0.25303632634971074,-28.693592987981553,0.39274809160305346,0.017022216122883783,-0.4049618320610687,-50.76555023923445,0.48329335421687036,0.018363408411074887,-0.3543819964845324,-42.30541058511523,0.8015182468658442,0.011025900738085787,-0.15106581228947846,-15.85852826714651
xgboost,random,0.8852713178294573,0.8615384615384616,0.8549618320610687,0.8582375478927203,0.9547864389213322,0.8234108527131785,0.008560891592110705,-0.06186046511627885,-6.9877408056041785,0.8026814808027789,0.011157788369173844,-0.058856980735682685,-6.83161383539174,0.749618320610687,0.016300882827528732,-0.10534351145038168,-12.321428571428573,0.775156542763221,0.01174345564744176,-0.08308100512949934,-9.680420686963984,0.9121948059713392,0.004919647847391439,-0.04259163294999302,-4.460854408249746
svm,random,0.889922480620155,0.8631178707224335,0.8664122137404581,0.8647619047619047,0.9489964722061666,0.5671317829457364,0.017984496124031014,-0.3227906976744186,-36.271777003484324,0.4666845901047805,0.022392874006257914,-0.39643328061765304,-45.93037568389548,0.4534351145038168,0.018915285028036428,-0.4129770992366413,-47.66519823788546,0.4598092013633381,0.018780733629483373,-0.40495270339856665,-46.8282311198783,0.6144146253961293,0.024773288970826264,-0.3345818468100372,-35.25638467677574
mlp,random,0.8837209302325582,0.8424908424908425,0.8778625954198473,0.8598130841121495,0.9467641958822474,0.6382945736434109,0.012879419799032638,-0.24542635658914724,-27.771929824561397,0.5816152897683241,0.024380181799075498,-0.2608755527225184,-30.964793866629357,0.3919847328244274,0.019762738116029945,-0.48587786259541993,-55.34782608695653,0.4680900312742975,0.019401995130573547,-0.391723052837852,-45.55909418875018,0.7007145277340403,0.017160252381023054,-0.24604966814820706,-25.98848469538123
naive_bayes,random,0.772093023255814,0.6433915211970075,0.9847328244274809,0.7782805429864253,0.8275068263807227,0.6654263565891473,0.010826102480679733,-0.10666666666666669,-13.81526104417671,0.6050847957524608,0.014499186661628633,-0.03830672544454672,-5.9538747687066795,0.5072519083969467,0.02292937144408487,-0.4774809160305342,-48.488372093023244,0.5517176336123245,0.018225858618149713,-0.22656290937410084,-29.110699402137374,0.7618225938253643,0.009481331456271879,-0.06568423255535838,-7.937606127388985
